Value,en,Disaggregation combinations using this value,Number of indicators
Eggs,Eggs,1,1
Fish and fish products,Fish and fish products,1,1
Fruits and berries,Fruits and berries,1,1
"Meat and meat products in meat equivalent, including bacon and offal","Meat and meat products in meat equivalent, including bacon and offal",1,1
Milk and dairy products in milk equivalent,Milk and dairy products in milk equivalent,1,1
Potatoes,Potatoes,1,1
Sugar,Sugar,1,1
Vegetable oils,Vegetable oils,1,1
Vegetables and gourds,Vegetables and gourds,1,1
Wheat and wheat products in flour equivalent,Wheat and wheat products in flour equivalent,1,1
