Value,en,Disaggregation combinations using this value,Number of indicators
Hectares,Hectares,11,2
Index,Index,31,3
Kilograms,Kilograms,8,3
Местная валюта,Local currency,64,5
Metric Tons,Metric Tons,6,1
Million of cubic metres per annum,Million of cubic metres per annum,22,2
Number,Number,103,11
"Per 1,000 live births","Per 1,000 live births",20,2
"Per 1,000 population","Per 1,000 population",40,4
"Per 1,000 USD","Per 1,000 USD",19,1
"Per 100,000 live births","Per 100,000 live births",10,1
"Per 100,000 population","Per 100,000 population",271,13
Per million population,Per million population,1,1
Процент,Percent,823,71
Square kilometers,Square kilometers,1,1
Thousands kilowatt-hours per 1mn som,Thousands kilowatt-hours per 1mn som,3,1
Tonnes per hectare,Tonnes per hectare,1,1
Tons of coal equivalent per 1mn som,Tons of coal equivalent per 1mn som,1,1
