Value,Disaggregation combinations using this value,Number of indicators
foo,1,1
Ведение домашнего хозяйства,2,1
Воспитание детей,2,1
Государственные услуги общего назначения,1,1
Госуправление,1,1
Другие,1,1
Жилищные и коммунальные услуги,1,1
Здравоохранение,2,2
Инфраструктура (водоснабжение),1,1
Образование,2,2
Организация отдыха и культурно-религиозная деятельность,1,1
Охрана окружающей среды,1,1
Помощь родственникам и знаокомым,2,1
"Работа на приусадебном, дачном, садовом участке",2,1
Сельское хозяйство,1,1
Социальная защита,1,1
Транспорт,1,1
Экономические вопросы,1,1
Энергетика,1,1
