Value,Disaggregation combinations using this value,Number of indicators
a) в дошкольных образовательных организациях,1,1
b) в начальной школе (1-4 класс),1,1
c) в основной школе (5-9 класс) и d) средней школе (10-11 класс),1,1
"Автобусы, микроавтобусы",1,1
"Внешеторговый оборот, в процентах к предыдущему году",1,1
Воздушный,1,1
"Дефицит государственного бюджета и источники его финансирования, млн сомов",1,1
"Доля важных с точки зрения биологического разнообразия районов суши и пресноводных районов, находящихся под охраной",1,1
Доля возобновляемых источников энергии в общем объеме энергопотребления,1,1
"Доля лесных площадей, в отношении которых существует долгосрочный план управления лесными ресурсами",1,1
"Доля лесных площадей, расположенных в природоохранных зонах",1,1
Доля населения с потреблением ниже 50% медианного значения,18,1
Железнодорожный,1,1
Закапывание,1,1
Запас надземной биомассы в лесах,1,1
Из них по причинам: засоления и заболоченности,1,1
Из них по причинам: отсутствия полива из-за неисправности оросительной сети,1,1
"Из них по причинам: подверженной стихийным бедствиям (оползни, сели)",1,1
"Импорт, млн. долл. США",1,1
Инвестиционный грант,1,1
Инвестиционный кредит и грант,1,1
Инвестиционный кредит,1,1
"Индекс потребительских цен, в процентах к предыдущему году",1,1
"Индекс цен производителей, в процентах к предыдущему году",1,1
"Количество выданных разрешений на вывоз и ввоз животных и растений, их частей и дериватов, попадающих под действие Конвенции CITES",1,1
"Медианное значение, сомов в месяц на душу населения",1,1
Мусоропровод,1,1
На административных должностях,3,1
На политических должностях,3,1
На специальных должностях,3,1
"Объем государственного долга, млн сомов",1,1
Перевозки пассажиров всеми видами транспорта,1,1
Площадь неиспользованной пашни,1,1
"Площадь пашни по причинам неиспользования, всего",1,1
"Потери воды при транспортировке, в процентах к общему объему забора воды",10,1
"Потери воды при транспортировке, млн. куб. метров",10,1
"Производство электроэнергии гидроэлектростанциями, млн. кВт.ч.",1,1
"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",31,1
"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",31,1
"Сбор грузовиком, контейнером",1,1
Сброс в мусорные кучи,1,1
Сжигание,1,1
Такси,1,1
"Темп роста (снижения) ВВП, в процентах к предыдущему году",1,1
Темп роста среднедушевых доходов среди 40% наименее обеспеченного населения,1,1
Темп роста среднедушевых доходов среди всего населения,1,1
Темпы чистого изменения площади лесов в год,1,1
Троллейбусы,1,1
Число мобильных телефонов на 100 домохозяйств,1,1
"Экспорт, млн. долл. США",1,1
